Date,Shift,Machine_ID,Planned_Production_Time_mins,Downtime_mins,Ideal_Cycle_Time_sec,Total_Parts_Produced,Rejected_Parts,Good_Parts,Availability,Performance,Quality,OEE,Availability_pct,Performance_pct,Quality_pct,Primary_Loss,OEE_Category,Anomaly_Score,Is_Anomaly
2026-07-01,A,M1-HPDC,480,49,34.29,682,80,602,0.8979166666666667,0.904322505800464,0.8826979472140762,71.68,89.79,90.43,88.27,Quality Loss,🟡 Average,1,✅ Normal
2026-07-01,A,M2-HPDC,480,49,28.37,774,23,751,0.8979166666666667,0.8491252900232019,0.9702842377260982,73.98,89.79,84.91,97.03,Performance Loss,🟡 Average,1,✅ Normal
2026-07-01,A,M3-HPDC,480,136,34.44,545,29,516,0.7166666666666667,0.9093895348837209,0.9467889908256881,61.7,71.67,90.94,94.68,Availability Loss,🔴 Below Average,-1,⚠️ Anomaly
2026-07-01,A,M4-HPDC,480,16,28.05,833,27,806,0.9666666666666667,0.8392834051724138,0.9675870348139256,78.5,96.67,83.93,96.76,Performance Loss,🟡 Average,1,✅ Normal
2026-07-01,B,M1-HPDC,480,35,30.32,681,45,636,0.9270833333333334,0.7733303370786517,0.933920704845815,66.96,92.71,77.33,93.39,Performance Loss,🟡 Average,1,✅ Normal
2026-07-01,B,M2-HPDC,480,23,31.8,671,25,646,0.9520833333333333,0.778183807439825,0.96274217585693,71.33,95.21,77.82,96.27,Performance Loss,🟡 Average,1,✅ Normal
2026-07-01,B,M3-HPDC,480,60,31.36,576,31,545,0.875,0.7168,0.9461805555555556,59.34,87.5,71.68,94.62,Performance Loss,🔴 Below Average,1,✅ Normal
2026-07-01,B,M4-HPDC,480,29,28.01,873,35,838,0.9395833333333333,0.9036485587583148,0.9599083619702177,81.5,93.96,90.36,95.99,Quality Loss,🟡 Average,1,✅ Normal
2026-07-01,C,M1-HPDC,480,95,31.07,636,12,624,0.8020833333333334,0.8554337662337662,0.9811320754716981,67.32,80.21,85.54,98.11,Availability Loss,🟡 Average,1,✅ Normal
2026-07-01,C,M2-HPDC,480,68,30.46,552,50,502,0.8583333333333333,0.6801747572815535,0.9094202898550725,53.09,85.83,68.02,90.94,Performance Loss,🔴 Below Average,1,✅ Normal
2026-07-01,C,M3-HPDC,480,112,33.96,484,21,463,0.7666666666666667,0.7444130434782609,0.9566115702479339,54.6,76.67,74.44,95.66,Availability Loss,🔴 Below Average,1,✅ Normal
2026-07-01,C,M4-HPDC,480,42,32.63,541,26,515,0.9125,0.6717210806697109,0.9519408502772643,58.35,91.25,67.17,95.19,Performance Loss,🔴 Below Average,1,✅ Normal
2026-07-02,A,M1-HPDC,480,20,30.68,749,24,725,0.9583333333333334,0.8325840579710145,0.9679572763684913,77.23,95.83,83.26,96.8,Performance Loss,🟡 Average,1,✅ Normal
2026-07-02,A,M2-HPDC,480,15,28.2,669,77,592,0.96875,0.6761935483870968,0.8849028400597907,57.97,96.88,67.62,88.49,Performance Loss,🔴 Below Average,1,✅ Normal
2026-07-02,A,M3-HPDC,480,73,29.45,606,47,559,0.8479166666666667,0.7308230958230959,0.9224422442244224,57.16,84.79,73.08,92.24,Availability Loss,🔴 Below Average,1,✅ Normal
2026-07-02,A,M4-HPDC,480,10,33.8,590,63,527,0.9791666666666666,0.7071631205673758,0.8932203389830509,61.85,97.92,70.72,89.32,Performance Loss,🔴 Below Average,1,✅ Normal
